cardId,lastSuccessDatetime,lastForgottenDatetime,fibIndex,nextReviewDate
1,2026-02-26T21:11:54.027,2026-01-25T11:39:19.457,6,2026-03-06
0,2026-02-26T21:11:48.366,2026-02-02T21:32:08.985,5,2026-03-04
3,2026-02-25T22:38:00.198,,5,2026-03-02
4,2026-02-25T22:38:02.598,,5,2026-03-02
2,2026-02-25T22:37:56.782,,5,2026-03-02
5,2026-02-25T22:38:05.057,,5,2026-03-02
6,2026-02-25T22:38:07.047,,5,2026-03-03
7,2026-02-26T21:11:51.966,,6,2026-03-07
8,2026-02-25T22:38:17.423,2026-02-07T09:48:30.603,4,2026-02-28
10,2026-02-25T22:38:24.682,,5,2026-03-02
9,2026-02-25T22:38:22.219,2026-02-26T21:11:45.033,1,2026-02-27
12,2026-02-26T21:11:57.405,,6,2026-03-04
13,2026-02-25T22:38:34.866,,5,2026-03-01
11,2026-02-26T21:13:27.180,2026-02-19T22:44:42.406,3,2026-02-28
14,2026-02-19T22:47:17.867,2026-02-25T22:38:45.381,0,2026-02-25
15,2026-02-19T22:45:46.206,2026-02-25T22:39:33.510,0,2026-02-25
16,2026-02-19T22:45:50.827,2026-02-25T22:38:57.252,0,2026-02-25
18,2026-02-19T22:45:09.141,2026-02-25T22:39:09.773,0,2026-02-25
19,2026-02-25T22:39:16.092,2026-02-26T21:13:44.263,0,2026-02-26
17,2026-02-26T21:13:37.115,2026-02-18T08:34:38.009,3,2026-02-28
20,2026-02-25T22:37:36.504,2026-02-26T21:13:54.772,0,2026-02-26
21,2026-02-26T21:13:59.311,2026-02-19T22:47:27.238,2,2026-02-27
22,2026-02-25T22:37:37.970,2026-02-26T21:14:03.739,0,2026-02-26
24,2026-02-25T22:39:19.100,,3,2026-02-27
25,2026-02-25T22:40:00.721,2026-02-26T21:11:39.624,1,2026-02-27
23,2026-02-26T21:14:08.336,2026-02-19T22:48:29.770,2,2026-02-27
26,2026-02-25T22:40:04.992,,3,2026-02-27
27,2026-02-25T22:40:09.958,,3,2026-02-27
28,2026-02-25T22:40:12.453,,3,2026-02-27
29,2026-02-26T21:12:01.837,,4,2026-03-01
30,2026-02-02T21:38:10.170,2026-02-25T22:40:36.487,0,2026-02-25
31,2026-02-25T22:40:28.135,,2,2026-02-26
35,2026-02-25T22:41:01.923,,2,2026-02-26
37,2026-02-25T22:41:12.921,,2,2026-02-26
38,2026-02-07T09:50:38.615,2026-02-25T22:41:22.326,0,2026-02-25
40,2026-02-25T22:41:48.397,,2,2026-02-26
41,2026-02-07T09:50:49.488,2026-02-25T22:43:11.665,0,2026-02-25
32,2026-02-07T09:50:54.147,2026-02-25T22:41:27.366,0,2026-02-25
33,2026-02-25T22:40:54.405,,2,2026-02-26
34,2026-02-25T22:40:58.346,,2,2026-02-26
36,2026-02-07T09:51:15.882,2026-02-25T22:41:07.217,0,2026-02-25
39,2026-02-07T09:51:18.883,2026-02-25T22:42:41.218,0,2026-02-25
43,2026-02-25T22:42:00.789,,2,2026-02-26
48,2026-02-25T22:43:41.846,,2,2026-02-26
49,2026-02-19T22:38:47.278,2026-02-25T22:43:47.055,0,2026-02-25
50,2026-02-25T22:43:51.808,,2,2026-02-26
42,2026-02-19T22:38:59.370,2026-02-25T22:42:26.381,0,2026-02-25
45,2026-02-19T22:39:36.907,2026-02-25T22:42:37.428,0,2026-02-25
47,2026-02-19T22:39:45.607,2026-02-25T22:44:36.085,0,2026-02-25
51,2026-02-19T22:39:53.552,2026-02-25T22:44:51.719,0,2026-02-25
44,2026-02-19T22:40:00.200,2026-02-25T22:43:16.689,0,2026-02-25
46,2026-02-19T22:40:06.929,2026-02-25T22:44:55.292,0,2026-02-25
57,2026-02-19T22:40:58.226,,1,2026-02-20
54,2026-02-19T22:41:46.053,,1,2026-02-20
61,2026-02-19T22:42:18.060,,1,2026-02-20
52,2026-02-19T22:42:25.024,2026-02-25T22:44:05.480,0,2026-02-25
55,2026-02-19T22:42:32.468,,1,2026-02-20
53,2026-02-19T22:43:24.610,,1,2026-02-20
56,2026-02-19T22:43:29.828,,1,2026-02-20
60,2026-02-19T22:43:43.508,,1,2026-02-20
58,2026-02-19T22:43:49.826,,1,2026-02-20
59,2026-02-19T22:43:57.059,,1,2026-02-20
